,user,location,text
109,HRHStillStacie,North Carolina & SW5 London UK,"RT @byetwit: .@tjmaxx ur store @TKMaxx_UK  out her lying abt Prince Harry #Spare 
Newspapers call it ""sale"" tkUK twitter says ""sale"" but wh…"
110,Angelioannou,Dulwich Hill NSW,"RT @NicsuPR: … “I couldn’t think of a single human being in the 300,000 year history of the species who’d done more damage to our collectiv…"
111,avava45,,"RT @NicsuPR: … “I couldn’t think of a single human being in the 300,000 year history of the species who’d done more damage to our collectiv…"
112,waydadamnsec,,"RT @cillahope_: Harry actually wrote ""The atmosphere was almost as woeful as Camilla's cooking""

I had to put the book down and catch my br…"
113,scrappywaffles,DFW 🇺🇲,"RT @KarahFrancis: I’m speechless! The defamation against Meghan is beyond grotesque, the revelations get filthier with every layer, I’m act…"
114,gleeglyph,,"RT @jade_obscure: Well, the the #TKMaxx UK Retail Director's LinkedIn pic is ... one of him with #KingCharlesTheCruel 😂. And TK Maxx are in…"
115,itbayat,,"RT @alegrafitzgera1: I know this sounds quite mad, but I want to say to Harry and Meghan if you ever find yourself in a situation where it’…"
116,doc_halegaleh,Sydney,"RT @Freedom16356531: #PrinceHarry we can tell which parts of #Spare is written by a woman, it’s very obvious. 

#SpareUs is how #MeghanMark…"
117,fgarlands,nyc,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
118,robbinwith2b,Earth,"RT @NicsuPR: According to the #ToxicBritishMedia, #Spare is an all out attack by #PrinceHarry against the #RoyalFamily when, in fact, his s…"
119,yayamathilde,,@joncoopertweets #HarryandMeghan  Harry and Meghan #SPARE https://t.co/qCzvUzhsGg
120,WendyCu06641694,,"RT @Mu_Ri_Elle: (Video in French, part 2).

""We thought that the numerous leaks in the media would turn people away from #PrinceHarry's mem…"
121,Pulixi82,"Milano, Lombardia","Comunque, visto l'evidente proposito di innalzare il livello del conflitto, io la biografia di Harry l'avrei fatta… https://t.co/OZb1Vylq0q"
122,Luke_UnitedUs,"Brighton, England",RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
123,Patrici81460203,,RT @Bubbaballoon: @PiersUncensored @piersmorgan @TalkTV I am glad #Spare is so successful.  Now 1.4 million can read what Prince Harry said…
124,Basic_Buttafly,London,"This made me chuckle a bit

#spare #harryandmeghan #teamsussex #cowmilla https://t.co/1b4FoUAeXl"
125,Stop_H8_4Profit,,"RT @royal_suitor: TKMaxx: We don’t do sales. 

TK Maxx: Hope you’re loving the January sales. Don’t miss our clearance items.

Ain’t you ti…"
126,DoonerAnne,,RT @royal_suitor: #PrinceHarry’s memoir #Spare is now the fastest-selling non-fiction book in @penguinrandom history with 1st day sales of…
127,Patrici81460203,,"RT @brandynicoles: I'm so used to Prince Harry with Meghan, I was lowkey shocked when he mentioned Chelsey. #Spare"
128,Ann_Thropology,,RT @totallyninja: The fact that bottom feeders like Piers Morgan and Megyn Kelly are both working ovetime on the rage train against Harry a…
129,melindawarren1,"Any Town, USA",RT @royal_suitor: ““Before I could even take them out of the box I had people coming into the store looking for copies.” Mulroney said they…
130,lordrochester63,,"RT @CourierBoyUK: #CharlesAndCamilla weren’t always the Sun’s favourites 🤣

#HarryTheInterview #PrinceHarry #PrinceHarryMemoir #Spare https…"
131,dangitdang,Alameda,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
132,buskyta,,@PaulbernalUK It is good to note that the press wants to keep Harry's book in the sphere of family conflict and pri… https://t.co/XFNMxq3Z3g
133,Mogz169,,RT @helenmallam: It’s quite lovely sitting with a brandy and watching in real time as ‘Queen’ consort Camilla’s reputation goes swirling do…
134,Karenknowsbest,Green Gables,"RT @CourierBoyUK: #CharlesAndCamilla weren’t always the Sun’s favourites 🤣

#HarryTheInterview #PrinceHarry #PrinceHarryMemoir #Spare https…"
135,Patrici81460203,,"RT @jasminedotiwala: It's a blast watching Harry and Meghan beat the press at its own game.
@marymacTV said what needed to be said.
#Spare…"
136,_marlanderthews,Canada,"EXCLUSIVE: #NHLAllStarVote William Nylander states that he’s a big fan of #BTS, #TaylorSwift and #Velma. He also sa… https://t.co/WDGmbn2BYq"
137,Karenknowsbest,Green Gables,RT @Iyan63553070: #spare #sentebale #PrinceHarryMemoir #PiersMorgan #racism #MeghanMarkIe
138,Soccermom1714,,"RT @Mediaguy19: The Independent now has Geordie Creig as editor, royal insider and close friend of Camilla and former editor of the Daily M…"
139,bamlcgriffin,,RT @ArchHazLiliMeg: “Have a quick look at the reaction he got on this late show last night”😂😂😂 #Spare #PrinceHarry https://t.co/IinDmSttMr
140,vivaciousvivs,Apparently pissing people off ,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
141,nickelskirsi,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
142,Patrici81460203,,RT @Bubbaballoon: @Daily_Express I am glad #Spare is so successful.  Now 1.4 million can read what Prince Harry said in context and make th…
143,sapnachirps,"Washington, DC","Steve the swan would like to see Harry call him grumpy to his face.  

@JRMoehringer 

#Spare"
144,UgandanPapoose,,RT @JoDivaRunner: Harry injured his knee participating in military exercises while on Royal duty and his entry into the military had to be…
145,Patrici81460203,,"RT @jaynesmith1: Couldn’t resist, I’ve started reading #Spare. I’m about 7 chapters in. So far a surprisingly easy and interesting read. I’…"
146,hazelbunny09,"melbourne, australia",@piersmorgan I cringe hearing the half a dozen people cheering against the crowd going crazy at #Colbert the night… https://t.co/7v2ocfoSEv
147,SussexvC,,RT @royal_suitor: #PrinceHarry’s memoir #Spare is now the fastest-selling non-fiction book in @penguinrandom history with 1st day sales of…
148,jones27_susan, #backboris ,"RT @SophieCaligirl: 🔥🔥🔥🔥🔥😱This story below is about #PrinceHarry and two alleged victims of his abuse, one in the UK and one recent inciden…"
149,mylittlebeaches,Burlington Ontario Canada,"RT @una_bd: Finished reading #Spare. He lives &amp; speaks his #truth, tenaciously loves &amp; defends his loved ones in the face of egregious, vil…"
150,Shauntrel17,"Louisiana, USA","RT @TvKhaleesi: WHOA!!! Prince Harry’s book #Spare sold 1.43 million copies in one day. 
https://t.co/kmyaGbz4Cy"
151,tsunamichor,they/them 21 blasian,RT @TudorChick1501: It’s becoming glaringly obvious that some people prefer a quiet prince involved in underage sex trafficking than a voca…
152,Karenknowsbest,Green Gables,RT @JaynieAdams: Almost halfway through #Spare. The media has taken all the context away for sensationalism proving Harry and Meghan’s poin…
153,Muluk2020,,"RT @MissWrite: The British Media seems to think they own the narrative, but boy does Harry now own them. #spare #PrinceHarrySpare"
154,RoxyFerret,New England,RT @royal_suitor: Of course he found the @colbertlateshow audience member during the break and gave her a hug. This is Prince Harry. 🤗 #Spa…
155,kkagwi,,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
156,albertagirl635, ,"RT @NicsuPR: … “I couldn’t think of a single human being in the 300,000 year history of the species who’d done more damage to our collectiv…"
157,Karenknowsbest,Green Gables,"RT @Riverru59977251: The greatest moment on video.....
#BritishMedia trying to make #PrinceHarry look bad to veterans &amp; #InvictusGames  fan…"
158,Ruthanasia, Proud Irish! 🇮🇪 ❤️ 🇵🇸 ✊✌️,"RT @royal_suitor: TKMaxx: We don’t do sales. 

TK Maxx: Hope you’re loving the January sales. Don’t miss our clearance items.

Ain’t you ti…"
159,Frannn__xo,❌,Guys I wanna get the book #Spare 😬😬😬😬😬😬😬😬
160,aridenour051,,"Wow. Chapter 86 of SPARE. So sad. Chapters 1 thru 5 and Chapter 86.  A lot. 
#SparePrinceHarry #SparebyPrinceHarry… https://t.co/SBrsTYJJxF"
161,Nenneh98603445,,"RT @BGWritesStuff: A standing ovation and chants of ""Harry, Harry!"" The British royal family REALLY screwed the pooch with this one. It's l…"
162,jadegarin2,,RT @MeghanMood: Just wait until Prince Harry wins an Audie and a Grammy for #Spare. https://t.co/oedhUUPeOL
163,MoreOrLessAMess,A little south of sanity,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
164,OnlyFac39514488,Global Citizen,"RT @NicsuPR: … “I couldn’t think of a single human being in the 300,000 year history of the species who’d done more damage to our collectiv…"
165,Magalette1,Germany,"RT @Mu_Ri_Elle: 🇫🇷 

French publisher of #Spare had to reprint 130,000 additional copies in 3 days!

Printed at 210,000 copies at first, th…"
166,Ruthanasia, Proud Irish! 🇮🇪 ❤️ 🇵🇸 ✊✌️,RT @royal_suitor: Yes Prince Harry really shopped at TK Maxx. This is similar to the story about his military service. What was a tabloid e…
167,teddybearxxxM,,"RT @karimbitar: 🇬🇧 Hats off to the manager of this  British bookshop 🎩 😀

#Spare https://t.co/bDOcUyPO7H"
168,UnJourSansMoi,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
169,Frannn__xo,❌,"RT @cillahope_: Harry actually wrote ""The atmosphere was almost as woeful as Camilla's cooking""

I had to put the book down and catch my br…"
170,TheJoker128,Batcave,RT @Freedom16356531: The worse part of #PrinceHarry’s gaslighting is the last 2 years our amazing country was dragged into a race culture w…
171,Patrici81460203,,"RT @Sil31966396: @THR #CongratulationsPrinceHarry 👏🏼👏🏼💙
#PrinceHarryMemoir 
#Spare"
172,SoftArtoday,,RT @totallyninja: The fact that bottom feeders like Piers Morgan and Megyn Kelly are both working ovetime on the rage train against Harry a…
173,jade_obscure,The True North,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
174,ellemccormick10,,"RT @marlene_hitch: So, Harry is not disputing the facts the media reported on, but that it was leaked. He confirmed in the #Spare  the the…"
175,RhysBenjamin,,"RT @ellievhall: I seem to have stumbled across another little inaccuracy in Prince Harry's #Spare, although it can perhaps be explained by…"
176,blackwjulie,The Trans Lobby,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
177,Jg_Dakota,,"RT @SophieCaligirl: 🔥🔥🔥🔥🔥😱This story below is about #PrinceHarry and two alleged victims of his abuse, one in the UK and one recent inciden…"
178,grabbing77,,"RT @TITTIPRICE: British humor, I guess. #Uk #Harry #Spare https://t.co/VWYbqPPhKA"
179,Patrici81460203,,"RT @Lilymaescloset: Thoughtful, sensitive and full of honesty........ God I love this book  #Spare"
180,BedsBucksRSC,Bedfordshire & Buckinghamshire,"RT @ellievhall: I seem to have stumbled across another little inaccuracy in Prince Harry's #Spare, although it can perhaps be explained by…"
181,Patrici81460203,,RT @Bubbaballoon: @byetwit I am glad #Spare is so successful.  Now 1.4 million can read what Prince Harry said in context and make their ow…
182,eeh230,Virginia,"RT @TvKhaleesi: WHOA!!! Prince Harry’s book #Spare sold 1.43 million copies in one day. 
https://t.co/kmyaGbz4Cy"
183,Patrici81460203,,"RT @keisharjarrett: I’ve been listening to “Spare” by Prince Harry, and let me tell you… it is a great read. 
HIGHLY recommend! 
#Spare #Pr…"
184,murphydavis,australia,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
185,bergi1954,,"RT @SophieCaligirl: 🔥🔥🔥🔥🔥😱This story below is about #PrinceHarry and two alleged victims of his abuse, one in the UK and one recent inciden…"
186,DreamzDrem,,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
